name,description
Sức khỏe phụ khoa,"Bệnh phụ khoa thường gặp, cách phòng tránh, điều trị và chăm sóc vùng kín đúng cách."
Xương khớp và vận động,"Thông tin về loãng xương, viêm khớp, đau lưng, thoát vị đĩa đệm và các bài tập hỗ trợ."
Thẩm mỹ và làm đẹp,"Bí quyết làm đẹp an toàn, chăm sóc da, tóc, dáng và các phương pháp thẩm mỹ không phẫu thuật."
Phục hồi chức năng,"Các bài tập vật lý trị liệu, phục hồi sau tai biến, chấn thương và phẫu thuật."
Ung thư và điều trị,"Thông tin về ung thư, chẩn đoán sớm, điều trị, chăm sóc giảm nhẹ và hỗ trợ tâm lý."
Sức khỏe sinh sản,"Kiến thức sinh sản cho cả nam và nữ, kế hoạch hóa gia đình, vô sinh và hiếm muộn."
Thuốc và dược phẩm,"Giải thích tác dụng, cách dùng, tương tác thuốc và các cảnh báo khi sử dụng dược phẩm."
Dịch vụ bệnh viện,"Giới thiệu các dịch vụ y tế, khám chữa bệnh, gói kiểm tra sức khỏe tổng quát và chuyên khoa."
Tin tức y tế,"Cập nhật tin tức mới nhất trong lĩnh vực y tế, chính sách, công nghệ và nghiên cứu."
Câu chuyện bệnh nhân,"Những câu chuyện truyền cảm hứng từ bệnh nhân và bác sĩ trong hành trình chữa bệnh."
Sức khỏe cộng đồng,"Các hoạt động nâng cao sức khỏe cộng đồng, tiêm chủng, vệ sinh môi trường và dinh dưỡng."
Kiến thức sơ cứu,"Hướng dẫn các kỹ năng sơ cứu cơ bản, xử lý khi bị bỏng, gãy xương, ngộ độc và đuối nước."
Bệnh truyền nhiễm,"Các bệnh như HIV, viêm gan, lao phổi, cúm và cách phòng ngừa lây nhiễm."
Mẹo sống khỏe,"Những bí quyết nhỏ giúp nâng cao chất lượng cuộc sống, duy trì năng lượng và tinh thần tích cực."
Công nghệ y tế,"Ứng dụng công nghệ AI, robot, và big data trong khám chữa bệnh hiện đại."
Dinh dưỡng cho bệnh nhân,"Các chế độ ăn đặc biệt cho người mắc bệnh tim, tiểu đường, ung thư, thận và gan."
Kiểm tra sức khỏe định kỳ,"Lợi ích của việc khám sức khỏe định kỳ và hướng dẫn lựa chọn gói phù hợp."
Tư vấn chuyên khoa,"Giải đáp các thắc mắc thường gặp về bệnh lý từ các bác sĩ chuyên khoa."
Giảm cân và kiểm soát cân nặng,"Các phương pháp giảm cân an toàn, dinh dưỡng và duy trì cân nặng hợp lý."
Mang thai và sinh nở,"Hành trình mang thai, sinh con, chăm sóc mẹ và bé sau sinh."
Dưỡng sinh và thiền,"Giới thiệu các bài tập dưỡng sinh, yoga, thiền giúp cải thiện sức khỏe tinh thần và thể chất."
Tác động của môi trường,"Ảnh hưởng của ô nhiễm, thời tiết, và lối sống đến sức khỏe con người."
Phòng chống ung thư,"Cách nhận biết sớm các dấu hiệu ung thư, thói quen giúp giảm nguy cơ mắc bệnh."
Vắc-xin và tiêm chủng,"Cập nhật lịch tiêm, tác dụng, phản ứng phụ và lợi ích của các loại vắc-xin."
Cấp cứu khẩn cấp,"Hướng dẫn hành động khi gặp tình huống y tế khẩn cấp, cấp cứu tim phổi, chấn thương nặng."
Giải phẫu và sinh lý học,"Giới thiệu cấu trúc cơ thể người, các cơ quan và chức năng sinh lý."
Sức khỏe tiêu hóa,"Các vấn đề về dạ dày, ruột, gan, mật, và hướng dẫn chăm sóc hệ tiêu hóa khỏe mạnh."
Chăm sóc hậu phẫu,"Hướng dẫn chăm sóc bệnh nhân sau phẫu thuật, phòng ngừa biến chứng và phục hồi nhanh."
Bệnh thận và tiết niệu,"Thông tin về sỏi thận, viêm cầu thận, suy thận, viêm bàng quang và cách điều trị."
Sức khỏe mắt,"Phòng tránh cận thị, khô mắt, thoái hóa điểm vàng và chăm sóc thị lực."
Sức khỏe tai mũi họng,"Các bệnh như viêm xoang, viêm họng, ù tai và cách điều trị, phòng ngừa hiệu quả."
